Aircraft: Make/Model,Number of Bird Strikes
A-10A,5
A-23 MUSKATEER,1
A-300,328
A-310,28
A-318,84
A-319,1000
A-320,1193
A-321,126
A-330,40
A-340,15
A-380,2
AA-1,2
AA-5,5
AERONCA 7,2
AEROS 350,17
AEROS 355,1
AEROS SA365,5
AEROS SN601,1
AG-5B,2
AGUSTA 109,6
AGUSTA AW 139,1
AMD ALARUS CH2000,1
AT 301,1
AT-38B,8
ATR-42,35
ATR-72,106
AVRO RJ 85,28
AYRES THRUSH,1
B-1B,1
B-52H,28
B-707,1
B-717-200,577
B-727,94
B-727-100,17
B-727-200,202
B-737,178
B-737-100,2
B-737-200,339
B-737-300,2309
B-737-400,331
B-737-500,366
B-737-600,2
B-737-700,2488
B-737-800,678
B-737-900,52
B-747,14
B-747-1/200,43
B-747-300,2
B-747-400,97
B-747-8 SERIES,2
B-757,4
B-757-200,992
B-757-300,30
B-767,26
B-767-200,158
B-767-300,355
B-767-400,31
B-777-200,110
B-777-300,13
B-787-800,1
BA-125-700,15
BA-125-800,25
BA-146,12
BA-146-200,1
BA-146-300,1
BA-31 JETSTR,42
BA-41 JETSTR,39
BD-700,4
BE-100 KING,17
BE-18,4
BE-19,1
BE-1900,323
BE-200 KING,95
BE-23 SUNDOWNER,9
BE-300 KING,66
BE-33,12
BE-35,17
BE-36,29
BE-400 BJET,131
BE-55  BARON,10
BE-58  BARON,54
BE-60 DUKE,5
BE-65 QUEEN,2
BE-76  DUCHESS,18
BE-77  SKIPPER,1
BE-90  KING,74
BE-95,3
BE-99,10
BELL-205A1,1
BELL-206,11
BELL-212,1
BELL-407,14
BELL-412,1
BELL-430,2
BELLANCA,2
BELLANCA 1730,1
BELLANCA CIT,3
BELLANCA CMP,1
BN-2A ISLAND,1
C-120/140,4
C-130E,1
C-150,35
C-152,112
C-172,380
C-177,12
C-17A,15
C-180,2
C-182 SKYLAN,47
C-185 SKYWAG,4
C-195,1
C-206 STATIO,16
C-207 SKYWAG,6
C-208,80
C-210 CENTUR,35
C-21A,2
C-303,1
C-305,1
C-310,33
C-320,1
C-337,1
C-340,11
C-401,1
C-402,95
C-404,1
C-406 CARAVA,1
C-414,25
C-421,17
C-425,6
C-441 CONQUE,14
C-500,23
C-550,57
C-560,201
C-650,54
C-680,25
CANADAIR,1
CAP AVION MUDRY,1
CASA C-212,3
CESSNA LC-41,1
CESSNA UNKN,4
CHALLENGER 300,39
CHAMP 8KCAB,2
CHAMPION CITABRIA,2
CIRRUS SR 20/22,72
CITATION,6
